Cost: 2817
         7024225 function calls (7024133 primitive calls) in 3.226 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 argparse.py:1283(Namespace)
        2    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 argparse.py:736(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:934(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:991(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1056(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1290(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:2496(_check_value)
        1    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:701(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:957(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1029(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1217(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1812(<listcomp>)
        1    0.000    0.000    0.000    0.000 shutil.py:59(Error)
        1    0.000    0.000    0.000    0.000 shutil.py:75(RegistryError)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 argparse.py:609(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:684(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:756(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:974(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:62(SameFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:65(SpecialFileError)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
        1    0.000    0.000    0.000    0.000 argparse.py:1728(identity)
        1    0.000    0.000    0.000    0.000 shutil.py:69(ExecError)
        1    0.000    0.000    0.000    0.000 shutil.py:72(ReadError)
        1    0.000    0.000    0.000    0.000 shutil.py:79(_GiveupOnFastCopy)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}


